Team,League, Payroll(millions), Wins
Nationals,N,81.34,98
Reds,N,82.2,97
Yankees,A,197.96,95
Giants,N,117.62,94
Braves,N,83.31,94
Athletics,A,55.37,94
Rangers,A,120.51,93
Orioles,A,81.43,93
Rays,A,64.17,90
Angels,A,154.49,89
Tigers,A,132.3,88
Cardinals,N,110.3,88
Dodgers,N,95.14,86
White Sox,A,96.92,85
Brewers,N,97.65,83
Phillies,N,174.54,81
Diamondbacks,N,74.28,81
Pirates,N,63.43,79
Padres,N,55.24,76
Mariners,A,81.97,75
Mets,N,93.35,74
Blue Jays,A,75.48,73
Royals,A,60.91,72
Marlins,N,118.07,69
Red Sox,A,173.18,69
Indians,A,78.43,68
Twins,A,94.08,66
Rockies,N,78.06,64
Cubs,N,88.19,61
Astros,A,60.65,55
