x,y,p
1.6,2.5,6.1
1.8,2,7.7
0.1,3.8,5.5
1.5,5.1,5.2
3.6,4.5,5.5
2.1,6.8,6.7
1.1,7.2,5.9
3,7.9,5.2
1.6,10.6,7.8
2.7,11.5,5
1.8,11.6,7.4
1.1,13.9,5.9
2.4,13.8,5.6
3.5,13.9,2.1
1.4,15.2,6.9
3,16.8,2.3
1.8,18,2.2
3.8,18.1,2.5
0,19.5,5.8
0.1,20.8,2.1
3.5,20.2,2.1
1.2,23.7,2.2
2.8,22.9,2.4
2.7,24.4,2.5
3.1,25.1,2.1
1.4,25.9,2.3
2.9,27.7,2.4
1.6,29.5,2.4
0.7,30.8,2.2
2.1,29.2,2.5
3.5,32.3,2.1
2.8,33.3,2.5
0.5,33.5,5.7
3.5,34.6,2
3.4,34.1,2.4
1,35.9,7.9
3.7,38.4,6.5
0.9,38.7,5.9
1.3,38.8,5.5
0,39.1,5.7
1.7,42.1,5.7
2,41.2,6.2
1.9,42.7,5.7
3.7,44.1,5.6
0.8,45.9,5.2
3.1,45.1,6.3
0.7,48.8,7.7
1.9,49.6,7.1
3.7,49.4,6.2
3.6,51.1,7.5
3,52,7
2.3,51.8,7.8
2.6,52.1,6.1
2.5,53.4,6.1
2.6,54.1,7.5
0.3,57.2,5.8
3.6,57.1,6
0.8,58.9,5.8
0.9,58.8,7.8
0.5,59.8,6.6
1.3,62.6,5.9
2.7,63.5,7.6
2.6,62.2,7.7
1,64.8,7.5
3.3,65.1,7.3
0.4,67.6,6.7
3.4,67,7.1
1.4,69.7,7.9
0.5,70.9,5.2
2.5,69.1,6.1
2.1,70.8,6.7
2.4,73.4,6.3
0.1,73.4,5.9
1.2,73.6,5.1
3.3,75.7,5.3
2.9,75.4,5.7
3.8,78.2,7.5
3.3,77.8,5.8
1.4,79.2,6.6
1.1,80.2,7.6
0.2,80.9,6.2
2.2,81.9,7.5
1.9,82.3,5.8
3.7,85.9,6
3.6,84.7,6.1
3,86.4,7.7
1.7,87.7,7.9
1.4,88.3,5.5
0.9,89,6.4
0.2,91.1,5.2
2.2,90.9,5.8
2,91.2,7.9
2.9,94.4,5.5
2.8,95.2,7.5
2.5,96.9,6.4
2.1,95.1,6.8
0.2,97.8,6.2
3.6,98,5.9
3.4,100.2,5.3
1.4,100.2,8
3.5,2.5,6.3
4.2,1.2,5.4
3.2,4.8,7.7
2.6,4.2,7.6
2.1,4.3,6.7
4.1,5.4,7.4
4,7.2,6.4
2.4,8.3,5.1
3.1,10.2,5.7
3.8,11.3,7.3
1.5,11.1,7.8
4.1,11.9,8
2.7,12.1,6.8
1.1,15.3,5.4
2.5,14.7,2.3
1.8,17.4,2.4
2.8,16.9,2.4
2.8,19.5,2.2
2.3,20.9,2.1
2.4,20.3,2.2
4.5,21.7,2.3
4.9,21.5,2.3
1.1,22.6,2.1
3.2,23.6,2.1
1.3,24.6,2.5
4.1,25.9,2.2
5,28.4,2.2
1.7,27.7,2.4
3.1,30,2.1
2.9,30.7,2
2.1,30.1,2.3
4.5,31.2,2
2,32.9,2.4
1.5,35.8,6.3
1.3,36.4,6.3
2.7,37.1,5.6
1.5,36.7,7
1.6,38,7.5
1.1,40.8,6.1
3.3,39.8,6.2
3.8,42.3,5.5
1.5,41.5,5.9
4.4,42.8,7.1
4.4,45.4,5.1
1.3,45.3,7.2
1.6,46.2,5.3
4,47.9,7.2
3.2,47.3,7.2
3.1,49.6,5.9
4.8,50.3,6.5
3.8,50.8,7.4
4.5,51,5.3
2.1,55,6.1
4.3,55.6,5.9
5,54,5.2
4.9,57,5.9
3.9,58.8,6.9
4.7,58.6,7.9
1.9,59.3,6.7
4.1,59.6,7.7
1.5,62.8,7.3
2.9,62.7,5
2.5,63.1,7.2
3.2,65,6.8
2.1,64.3,5.9
3.1,67.7,6.3
4.8,66.7,6.6
3.5,67.6,7.9
3,68.5,6.6
1.8,69.7,6
1.6,71.9,5.6
4.8,72.9,5.6
2.9,74.5,6.3
1.5,75.8,7
1.7,76.3,7.1
1.7,77.3,5.6
2,78,7.9
4.8,79.4,7.4
4.9,80.1,7
1.5,81.1,5.5
2.3,81.4,6.2
3,83.5,7.5
3.3,84.1,5.4
4.4,85.1,5.6
1.3,85.3,7.5
2.2,86,6.6
1.1,88.6,5.5
4.9,89.2,6.3
4.2,89.5,6
1.6,91.2,6.3
2.4,91.9,7.8
1.6,93.3,5.1
3.3,94,5
4.9,94,7.5
3.4,94,7.6
3,95.7,7
4.2,96.2,7.3
3.5,99.8,6.1
1.8,99,6.7
4.5,101.8,5.1
3.6,2.3,7
5.5,3.4,6.7
4.3,3.7,6.7
3.1,5.2,6.3
5.2,4,5.5
4.1,7.9,7.8
2.4,8.4,6
5.4,7.1,6.1
2.7,9.2,5.5
3.3,10.4,6.9
2.5,11.9,7.2
5.6,13.7,2
5.5,13.2,2
5.1,14.5,2.1
2.3,15.7,2
5.1,15.5,2.2
2.1,18.5,2.3
2.6,18.8,2.3
5.6,19.5,2.2
2.5,19.2,2.2
2.5,22,2.3
2,21.8,2.1
5.1,24.9,2.1
3.4,24.4,2.2
5.6,25.2,2.1
4.3,27.8,2.2
4,26.7,2.2
4.9,28.7,2.5
5.7,29.2,2.3
4.5,30.3,2.3
4.8,30.7,2.4
3,32.1,2.3
2.9,32.8,2
3.7,34.9,2.3
3.1,35.4,2
2.8,35.8,2.1
5.4,38.3,2.1
4.9,38.7,2.4
4.8,39.4,7.5
2.4,41.4,7.6
5.2,42.4,6.5
2.9,43.6,6.9
6,45,5.8
3.8,44.4,7.9
4.1,46.3,7.1
3.8,46.3,5.1
2.8,47.8,5.4
2.2,48.8,5.9
5.4,49.6,6
5.2,50,6.7
4.7,50.1,6.8
4.8,53.4,7.8
5.6,52.5,5.2
4.1,55.2,7.9
3.8,55.2,7.2
5.9,55.2,5
4.4,59,6.8
4.9,57.2,6.7
4.7,59.4,6.3
5,59.8,6
3.6,61.3,6.2
3,61.3,7.9
5.3,64.7,6.4
4.7,63.7,6.7
5.8,66.6,7.8
5.5,66.1,5.4
3,66.1,6.8
4.9,68.7,6.9
4.8,69.3,5.9
3.8,70.2,6.7
3.6,72.2,7.9
3.5,71.1,7
4.3,74.9,6.5
2.9,75.5,6.6
2.1,75.9,6.1
3.9,76.5,6.3
4.5,77.7,5.5
4.9,77.2,7.5
2.5,78.7,6.8
3.6,80.2,7.8
4.6,82.8,5.5
2,82.8,5.8
4.7,83.4,5.7
2.1,83.2,5.5
3.1,86.7,6.8
4.7,87.3,6.9
4.1,88.8,7.6
5.5,89.7,5.9
4.2,90.8,7.2
2.3,89.9,6.6
4,92.3,7
2.7,92.8,6.7
3,92.7,7.4
2.5,94.9,5.7
4,94.5,5.8
4.6,96.9,7.4
5.4,96.4,7.8
3.3,99.3,7.4
4.6,98.3,7.1
4.4,101.8,6.3
6.6,2.1,8
7,2.2,5.1
6.8,4.1,7.3
4.3,5,7.3
3.7,5.5,7.2
4,5,6.8
4.8,6.3,6.8
3.4,7.6,6.5
6.5,9.4,5.8
3.8,10.6,6.3
3.4,10.6,7.9
4.3,11.8,2.4
5.2,14.3,2.1
3.2,15.1,2.1
4.9,16.7,2
3.7,16.6,2.1
5.2,16.6,2
4,18.7,2.1
3.5,19,2.1
3.9,20.9,2.3
6.3,20.9,2
3,23.3,2.2
5.6,22.8,2.3
5.3,25.3,2.1
6,25.4,2.4
4.1,25.9,2.4
5.2,26.8,2.3
5.6,27.7,2
6.3,28.8,2.2
4.3,31.7,2.5
6.2,31,2.1
6.6,33.7,2.1
3.6,34.8,2.2
4.6,34.5,2.1
7,36.3,2.2
3.5,37.8,7.9
3.6,36.7,2.3
3.2,37.2,6.6
4.3,39.3,5.6
4,40.4,6.5
6.3,40.2,2.4
4.5,41,7.8
6.3,44.8,5.3
5.5,44.1,6.3
6.3,44.2,7.2
6.6,45.3,6.1
6,48,7.1
6,49,5.1
5,50.3,5.7
3.3,49.2,5
6.8,52.7,6
3.7,51.6,5.7
6.2,52,5.1
4.5,54.1,5.7
4.8,56.8,7.4
3.6,57.9,7.8
4.3,57.7,6.3
4.5,59.8,6.6
3.9,60.2,5.5
4,59.9,7.8
4.1,61.1,5.4
3.8,63.9,7.9
4.9,63.2,6.4
4.3,64.5,7.3
6.6,66.4,5.7
6.5,65.1,6.9
4.3,67.4,5.8
3.1,68.6,7.9
6.1,69,5.2
6.2,71.1,6.6
