Abbrev,Lat,Long,Name,t2020,percent
AL,32.6010112,-86.6807365,Alabama,12044879,3.986948881
AK,61.3025006,-158.7750198,Alaska,1318156,-25.98417327
AZ,34.1682185,-111.930907,Arizona,17787240,34.42
AR,34.7519275,-92.1313784,Arkansas,10255155,0.364939215
CA,37.2718745,-119.2704153,California,171964222,-8.643995843
CO,38.9979339,-105.550567,Colorado,15074484,-5.011709637
CT,41.5187835,-72.757507,Connecticut,18400534,-3.822977947
DE,39.145251,-75.4189206,Delaware,4555474,-0.885864161
FL,27.9757279,-83.8330166,Florida,43117933,-3.754250769
GA,32.6781248,-83.2229757,Georgia,23760988,-3.891340897
HI,20.46,-157.505,Hawaii,7707502,-6.09
ID,45.4945756,-114.1424303,Idaho,5282551,8.468422185
IL,39.739318,-89.504139,Illinois,45284625,-0.372278778
IN,39.7662195,-86.441277,Indiana,22374096,-2.5886602
IA,41.9383166,-93.389798,Iowa,10661437,0.73288889
KS,38.4987789,-98.3200779,Kansas,9659846,-3.691985709
KY,37.8222935,-85.7682399,Kentucky,13370578,2.206447794
LA,30.9733766,-91.4299097,Louisiana,11381008,-3.128889556
ME,45.2185133,-69.0148656,Maine,4851219,3.781799792
MD,38.8063524,-77.2684162,Maryland,23882883,1.172004816
MA,42.0629398,-71.718067,Massachusetts,31630313,-0.550525838
MI,44.9435598,-86.4158049,Michigan,28061998,-7.294755589
MN,46.4418595,-93.3655146,Minnesota,26790884,-4.915250839
MS,32.5851062,-89.8772196,Mississippi,8099990,-2.278871592
MO,38.3046615,-92.437099,Missouri,12409761,-5.853891681
MT,46.6797995,-110.044783,Montana,3168411,-0.004607776
NE,41.5008195,-99.680902,Nebraska,5857227,1.779252017
NV,38.502032,-117.0230604,Nevada,9452840,-2.9935409
NH,44.0012306,-71.5799231,New Hampshire,2858212,-4.497123431
NJ,40.1430058,-74.7311156,New Jersey,37927482,-1.358056575
NM,34.1662325,-106.0260685,New Mexico,7150005,-3.737629621
NY,40.7056258,-73.97968,New York,92720854,8.611888771
NC,35.2145629,-79.8912675,North Carolina,28303127,-3.482768582
ND,47.4678819,-100.3022655,North Dakota,4336232,-12.74737693
OH,40.1903624,-82.6692525,Ohio,30581546,-0.343442542
OK,35.3097654,-98.7165585,Oklahoma,10256615,-5.173284138
OR,44.1419049,-120.5380993,Oregon,12774909,-8.792188643
PA,40.9945928,-77.6046984,Pennsylvania,40684520,-5.675378978
RI,41.5827282,-71.5064508,Rhode Island,3526786,-0.941130407
SC,33.62505,-80.9470381,South Carolina,11794684,5.11218966
SD,44.2126995,-100.2471641,South Dakota,2018423,4.020170943
TN,35.830521,-85.9785989,Tennessee,16775270,1.97151068
TX,31.1693363,-100.0768425,Texas,61013294,-3.6343661
UT,39.4997605,-111.547028,Utah,8731412,-11.97084559
VT,43.8717545,-72.4477828,Vermont,3419990,-1.457823393
VA,38.0033855,-79.4587861,Virginia,28064536,3.64924118
WA,47.4,-121.49,Washington,29017067,3.660381552
WV,38.9201705,-80.1816905,West Virginia,5468925,-5.980780551
WI,44.7862968,-89.8267049,Wisconsin,20114894,0.927023231
WY,43.000325,-107.5545669,Wyoming,1963896,-6.955404453
