state,t2020,percent
Alabama,12044879,3.986948881
Alaska,1318156,-25.98417327
Arkansas,10255155,0.364939215
Arizona,17787240,34.42
California,171964222,-8.643995843
Colorado,15074484,-5.011709637
Connecticut,18400534,-3.822977947
Delaware,4555474,-0.885864161
Florida,43117933,-3.754250769
Georgia,23760988,-3.891340897
Hawaii,7707502,-6.09
Iowa,10661437,0.73288889
Idaho,5282551,8.468422185
Illinois,45284625,-0.372278778
Indiana,22374096,-2.5886602
Kansas,9659846,-3.691985709
Kentucky,13370578,2.206447794
Louisiana,11381008,-3.128889556
Maine,4851219,3.781799792
Maryland,23882883,1.172004816
Massachusetts,31630313,-0.550525838
Michigan,28061998,-7.294755589
Minnesota,26790884,-4.915250839
Missouri,12409761,-5.853891681
Mississippi,8099990,-2.278871592
Montana,3168411,-0.004607776
North Carolina,28303127,-3.482768582
North Dakota,4336232,-12.74737693
Nebraska,5857227,1.779252017
New Hampshire,2858212,-4.497123431
New Jersey,37927482,-1.358056575
New Mexico,7150005,-3.737629621
Nevada,9452840,-2.9935409
New York,92720854,8.611888771
Ohio,30581546,-0.343442542
Oklahoma,10256615,-5.173284138
Oregon,12774909,-8.792188643
Pennsylvania,40684520,-5.675378978
Rhode Island,3526786,-0.941130407
South Carolina,11794684,5.11218966
South Dakota,2018423,4.020170943
Tennessee,16775270,1.97151068
Texas,61013294,-3.6343661
Utah,8731412,-11.97084559
Virginia,28064536,3.64924118
Vermont,3419990,-1.457823393
Washington,29017067,3.660381552
Wisconsin,20114894,0.927023231
West Virginia,5468925,-5.980780551
Wyoming,1963896,-6.955404453
