Year,Embarked - Spain / Uruguay,Disembarked - Spain / Uruguay,Embarked - Portugal / Brazil,Disembarked - Portugal / Brazil,Embarked - Great Britain ,Disembarked - Great Britain ,Embarked - Netherlands ,Disembarked - Netherlands ,Embarked- U.S.A,Disembarked - U.S.A,Embarked - France,Disembarked - France,Embarked - Denmark / Baltic,Disembarked - Denmark / Baltic,Embarked - Totals,Disembarked - Totals
1501,95,67,95,67,0,0,0,0,0,0,0,0,0,0,190,134
1502,95,67,95,67,0,0,0,0,0,0,0,0,0,0,190,134
1503,95,67,95,67,0,0,0,0,0,0,0,0,0,0,190,134
1504,95,67,95,67,0,0,0,0,0,0,0,0,0,0,190,134
1505,95,67,95,67,0,0,0,0,0,0,0,0,0,0,190,134
1506,95,67,95,67,0,0,0,0,0,0,0,0,0,0,190,134
1507,95,67,95,67,0,0,0,0,0,0,0,0,0,0,190,134
1508,95,67,95,67,0,0,0,0,0,0,0,0,0,0,190,134
1509,95,67,95,67,0,0,0,0,0,0,0,0,0,0,190,134
1510,95,67,95,67,0,0,0,0,0,0,0,0,0,0,190,134
1511,95,67,95,67,0,0,0,0,0,0,0,0,0,0,190,134
1512,95,67,95,67,0,0,0,0,0,0,0,0,0,0,190,134
1513,95,67,95,67,0,0,0,0,0,0,0,0,0,0,190,134
1514,95,67,332,235,0,0,0,0,0,0,0,0,0,0,427,302
1515,95,67,95,67,0,0,0,0,0,0,0,0,0,0,190,134
1516,786,550,1186,834,0,0,0,0,0,0,0,0,0,0,1972,1384
1517,786,550,786,550,0,0,0,0,0,0,0,0,0,0,1572,1100
1518,786,550,786,550,0,0,0,0,0,0,0,0,0,0,1572,1100
1519,786,550,786,550,0,0,0,0,0,0,0,0,0,0,1572,1100
1520,786,550,786,550,0,0,0,0,0,0,0,0,0,0,1572,1100
1521,202,141,202,141,0,0,0,0,0,0,0,0,0,0,404,282
1522,202,141,202,141,0,0,0,0,0,0,0,0,0,0,404,282
1523,202,141,202,141,0,0,0,0,0,0,0,0,0,0,404,282
1524,202,141,202,141,0,0,0,0,0,0,0,0,0,0,404,282
1525,202,141,202,141,0,0,0,0,0,0,0,0,0,0,404,282
1526,897,628,897,628,0,0,0,0,0,0,0,0,0,0,1794,1256
1527,897,628,897,628,0,0,0,0,0,0,0,0,0,0,1794,1256
1528,897,628,897,628,0,0,0,0,0,0,0,0,0,0,1794,1256
1529,897,628,897,628,0,0,0,0,0,0,0,0,0,0,1794,1256
1530,897,628,897,628,0,0,0,0,0,0,0,0,0,0,1794,1256
1531,861,603,862,603,0,0,0,0,0,0,0,0,0,0,1723,1206
1532,861,603,862,603,0,0,0,0,0,0,0,0,0,0,1723,1206
1533,861,603,862,603,0,0,0,0,0,0,0,0,0,0,1723,1206
1534,861,603,862,603,0,0,0,0,0,0,0,0,0,0,1723,1206
1535,861,603,862,603,0,0,0,0,0,0,0,0,0,0,1723,1206
1536,579,405,579,406,0,0,0,0,0,0,0,0,0,0,1158,811
1537,579,405,579,406,0,0,0,0,0,0,0,0,0,0,1158,811
1538,579,405,579,406,0,0,0,0,0,0,0,0,0,0,1158,811
1539,579,405,579,406,0,0,0,0,0,0,0,0,0,0,1158,811
1540,579,405,579,406,0,0,0,0,0,0,0,0,0,0,1158,811
1541,1796,1257,1796,1257,0,0,0,0,0,0,0,0,0,0,3592,2514
1542,1796,1257,1796,1257,0,0,0,0,0,0,0,0,0,0,3592,2514
1543,1796,1257,1796,1257,0,0,0,0,0,0,0,0,0,0,3592,2514
1544,1796,1257,1796,1257,0,0,0,0,0,0,0,0,0,0,3592,2514
1545,1796,1257,1796,1257,0,0,0,0,0,0,0,0,0,0,3592,2514
1546,943,660,943,660,0,0,0,0,0,0,0,0,0,0,1886,1320
